date,player,consensus_implied,best_price,homered,flat_bet_pl
2026-03-26,Pete Alonso,0.255,310,False,-10.0
2026-03-26,Kerry Carpenter,0.255,340,False,-10.0
2026-03-26,Kyle Schwarber,0.353,205,True,20.5
2026-03-26,Junior Caminero,0.259,310,False,-10.0
2026-03-26,Shohei Ohtani,0.347,210,False,-10.0
2026-03-26,Cal Raleigh,0.271,290,False,-10.0
2026-03-26,Nick Kurtz,0.266,300,False,-10.0
2026-03-27,Aaron Judge,0.324,240,True,24.0
2026-03-27,Nick Kurtz,0.266,300,False,-10.0
2026-03-27,Mike Trout,0.257,310,True,31.0
2026-03-27,Cal Raleigh,0.259,310,False,-10.0
2026-03-27,Shohei Ohtani,0.374,180,False,-10.0
2026-03-28,Michael Busch,0.297,260,False,-10.0
2026-03-28,Vladimir Guerrero Jr.,0.258,333,False,-10.0
2026-03-28,Colson Montgomery,0.252,300,False,-10.0
2026-03-28,Yordan Alvarez,0.252,305,False,-10.0
2026-03-28,Aaron Judge,0.307,250,True,25.0
2026-03-28,Kerry Carpenter,0.253,300,False,-10.0
2026-03-28,Shohei Ohtani,0.377,185,False,-10.0
2026-03-28,Cal Raleigh,0.276,280,False,-10.0
2026-03-29,Pete Alonso,0.279,280,False,-10.0
2026-03-29,Kyle Schwarber,0.299,270,False,-10.0
2026-03-29,Shea Langeliers,0.252,310,False,-10.0
2026-03-29,Yordan Alvarez,0.274,275,False,-10.0
2026-03-29,Michael Busch,0.3,275,False,-10.0
2026-03-29,Cal Raleigh,0.272,300,False,-10.0
2026-03-30,Salvador Perez,0.286,275,False,-10.0
2026-03-30,Pete Alonso,0.266,305,False,-10.0
2026-03-30,Eugenio Suarez,0.283,265,False,-10.0
2026-03-30,Kyle Schwarber,0.33,215,False,-10.0
2026-03-30,George Springer,0.267,300,True,30.0
2026-03-30,Ronald Acuna Jr.,0.256,305,False,-10.0
2026-03-30,Michael Busch,0.314,275,False,-10.0
2026-03-30,Aaron Judge,0.287,280,False,-10.0
2026-03-30,Shohei Ohtani,0.345,200,False,-10.0
2026-03-31,Corey Seager,0.286,270,True,27.0
2026-03-31,Kyle Schwarber,0.332,205,True,20.5
2026-03-31,Matt Olson,0.251,305,False,-10.0
2026-03-31,Aaron Judge,0.276,275,False,-10.0
2026-03-31,Rafael Devers,0.275,290,False,-10.0
2026-03-31,Shohei Ohtani,0.385,165,False,-10.0
2026-04-01,Kyle Schwarber,0.293,260,False,-10.0
2026-04-01,Aaron Judge,0.251,310,False,-10.0
2026-04-01,Shohei Ohtani,0.321,235,False,-10.0
2026-04-02,Byron Buxton,0.27,280,False,-10.0
2026-04-03,Shohei Ohtani,0.389,164,True,16.4
2026-04-03,Kerry Carpenter,0.25,305,False,-10.0
2026-04-03,Aaron Judge,0.364,186,True,18.6
2026-04-03,Corey Seager,0.254,305,False,-10.0
2026-04-03,Kyle Schwarber,0.378,195,True,19.5
2026-04-03,Cal Raleigh,0.295,250,False,-10.0
2026-04-03,Yordan Alvarez,0.3,240,False,-10.0
2026-04-04,Yordan Alvarez,0.301,245,False,-10.0
2026-04-04,Shohei Ohtani,0.397,163,False,-10.0
2026-04-04,Aaron Judge,0.307,230,False,-10.0
2026-04-04,Kyle Schwarber,0.347,200,False,-10.0
2026-04-04,Cal Raleigh,0.335,210,False,-10.0
2026-04-05,Shohei Ohtani,0.309,230,True,23.0
